"id","advertiser_id","advertiser_name","disclaimer","spend","ad_library_size","date_produced","country_code","currency_units","create_date","update_date"
"1b5b017a-7098-41bb-969c-030f668d3814","208250375865238","Woord en Daad","Stichting Woord en Daad",50,27,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"905e5bfe-d93b-42f6-b74f-045f4c402cc8","212763862068531","Dier&Recht","Dier&Recht",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"687785f7-5c42-4cb7-9fed-c14ab0dcbe26","203753056314055","Varkens in Nood","Varkens in Nood",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"3a0e8c51-6906-42d2-bfeb-13788b60114f","210455475818306","Stadsbelang Utrecht","Stadsbelang Utrecht",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"9dddce14-a944-4c6a-b82b-a121614a354c","326065807595919","Startpunt Wageningen","Gemeente Wageningen",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"5fb41bde-3e31-44ed-a038-51d7b8b6a624","343592399090367","VisitHaarlemmermeer","Gemeente Haarlemmermeer",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"f7b2d19f-7f0e-488d-b988-3c61a3e98c2d","105058616251465","RashondenWijzer","These ads ran without a disclaimer",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"a8cbd5e8-80ba-4ebc-a9ba-8f959362a6ee","1034873183235378","BPF Schilders","BPF Schilders",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"da5096fc-f837-4040-8699-6dbd11efe789","120978477961903","Gemeente Enschede","Gemeente Enschede",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"01a6fed6-4501-4f1d-812c-97d7f4cfff7b","102860308463749","Intimideer mij niet","BO Diversity",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"09813fb8-d6ee-4398-98a8-50a405de64e6","102287806490622","Partij voor de Dieren","Partij voor de Dieren",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"5afdeb74-d897-4943-96f2-92271992bec5","134249020525040","Lifeline Call For Animals","These ads ran without a disclaimer",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"2d3f15c6-eed5-4752-98ca-cfa7c8d922a5","105588771133411","Sectorraad Paarden","These ads ran without a disclaimer",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"0e549fa0-2a61-46a4-b55b-8fc4dade5865","101726072766798","Namens Noord-Hollanders.","Namens Noord-Hollanders",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"3ce51bd9-e005-457e-8156-79116cbd356b","165914046762784","PvdA Limburg","PvdA Limburg",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"da5776ca-3cac-440b-a9ea-ef34e866ab4d","106324845376619","Nacht van de Filosofie","Serious Culture",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"c0805215-60ec-401b-8e7e-5f9768472167","105656962844422","Partij voor de Dieren Groningen","Partij voor de Dieren Groningen",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"5f949e34-e9a0-4ac8-9d90-ccd7b2017070","104444102527256","Recht op Nee","These ads ran without a disclaimer",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"c7a3021d-4126-4227-b097-2c89ed37d8b7","165488696805185","Vereniging Basisinkomen","Alexander De Roo",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"215b47ef-c0b9-425e-8bcd-b318e39e20ee","145692339544199","Fauna4Life","Fauna4Life",50,8,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"10b0d08b-b9cf-4f6c-a2f9-b00c94cec157","105231179146540","Barv","These ads ran without a disclaimer",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"2c92c1ba-5cb2-43d7-b15c-14f9c67670e4","1395051300796067","Water Natuurlijk Hollands Noorderkwartier","Water Natuurlijk Hollands Noorderkwartier",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"dd926c2c-450c-445c-8f80-c1b2f85ec144","102443598855327","Minister Ursell Arends","Ursell Arends",50,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"9821468d-d2f8-4b03-b30f-269d6ba099fb","671032316251469","Smallingerlands Belang","Fun4rent",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"d070a97e-cb69-4f95-8f9d-16c92a3acf6b","662071567177421","Gemeentebelangen Heusden","Gemeentebelangen",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"0fb68641-c74a-4d8d-b8a9-a529d3ff84da","194900893890599","Bossche VVD","VVD 's-Hertogenbosch",50,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
